Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
73769604,The Structure of Scientific Revolutions: 50th Anniversary Edition,Thomas S. Kuhn,"Kuhn, Thomas S.",,"=""""","=""""",0,4.03,University of Chicago Press,Kindle Edition,264,2012,1962,,2023/05/17,to-read,to-read (#5),to-read,,,,0,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",5,4.36,Vintage,Paperback,512,2015,2011,2023/05/15,2023/05/04,,,read,,,,2,0
115596,"The Wealth of Nations, Books 1-3",Adam Smith,"Smith, Adam",Andrew S. Skinner,"=""0140432086""","=""9780140432084""",0,3.87,Penguin Classics,Paperback,544,1982,1776,,2023/05/04,to-read,to-read (#4),to-read,,,,0,0
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Thiel, Peter",Blake  Masters,"=""0804139296""","=""9780804139298""",0,4.16,Crown Currency,Hardcover,195,2014,2014,,2023/05/04,to-read,to-read (#3),to-read,,,,0,0
26150770,"The Big Picture: On the Origins of Life, Meaning, and the Universe Itself",Sean Carroll,"Carroll, Sean",,"=""0525954821""","=""9780525954828""",0,4.18,Dutton,Hardcover,480,2016,2016,,2023/05/04,to-read,to-read (#2),to-read,,,,0,0
40078926,Master Your Emotions: A Practical Guide to Overcome Negativity and Better Manage Your Feelings (Mastery Series Book 1),Thibaut Meurisse,"Meurisse, Thibaut",Kerry J.  Donovan,"=""""","=""""",4,4.14,,Kindle Edition,217,2018,2018,,2023/05/04,,,read,,,,1,0
54898389,The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,"Jorgenson, Eric",,"=""""","=""9781544514208""",5,4.45,Magrathea Publishing,Kindle Edition,244,2020,2020,2023/01/14,2023/05/04,,,read,,,,1,0
30257963,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,"Peterson, Jordan B.",,"=""0345816021""","=""9780345816023""",5,3.92,Random House Canada,Hardcover,409,2018,2018,,2023/05/04,,,read,,,,1,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",5,4.35,Avery,Kindle Edition,319,2018,2018,,2023/05/04,,,read,,,,1,0
3228917,Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316017922""","=""9780316017923""",5,4.19,"Little, Brown and Company",Hardcover,309,2008,2008,,2023/05/04,,,read,,,,1,0
41721428,Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,"Goggins, David",,"=""1544512260""","=""""",5,4.33,Lioncrest Publishing,Kindle Edition,366,2018,2018,,2023/05/04,,,read,,,,1,0
15801967,Contagious: Why Things Catch On,Jonah Berger,"Berger, Jonah",,"=""1451686579""","=""9781451686579""",2,3.98,Simon & Schuster,Hardcover,210,2013,2013,,2023/05/04,,,read,,,,1,0
79424,"The Way of the Superior Man: A Spiritual Guide to Mastering the Challenges of Women, Work, and Sexual Desire",David Deida,"Deida, David",,"=""1591792576""","=""9781591792574""",5,4.06,Sounds True,Paperback,202,2004,1997,,2023/05/04,,,read,,,,1,0
41881472,The Psychology of Money,Morgan Housel,"Housel, Morgan",,"=""""","=""""",3,4.32,Harriman House,Paperback,252,2020,2020,,2023/05/04,,,read,,,,1,0
10534,The Art of War,Sun Tzu,"Tzu, Sun",Thomas Cleary,"=""""","=""""",5,3.96,Harper Press,Paperback,273,2005,-400,2023/04/06,2023/05/04,,,read,,,,1,0
30659,Meditations,Marcus Aurelius,"Aurelius, Marcus",Martin Hammond,"=""0140449337""","=""9780140449334""",5,4.28,Penguin Books,Paperback,254,2006,180,,2023/05/04,,,read,,,,1,0
5471,Nineteen Eighty-Four,George Orwell,"Orwell, George","Daniel Lagin, Thomas Pynchon, Erich Fromm","=""""","=""""",0,4.19,Plume,Paperback,339,2003,1949,,2023/05/04,to-read,to-read (#1),to-read,,,,0,0
